row_id,subject_id,subject,profession_en,profession_tr,birthplace_en,birthplace_tr,residence_en,residence_tr,field_of_study_en,field_of_study_tr,works_in_industry_en,works_in_industry_tr,name_type,name_rarity_bucket,popularity_rank,popularity_bucket,profession_frequency_bucket,birthplace_frequency_bucket,residence_frequency_bucket,field_of_study_frequency_bucket,works_in_industry_frequency_bucket,branch_group
R00001,S00001,Mada Granger,Customer service representative,Müşteri hizmetleri temsilcisi,Istanbul,İstanbul,Mugla,Muğla,film studies,sinema,recreation,egzersiz,english_like,rare,3564,low,low,low,low,low,low,A
R00002,S00002,Codie Huffman,Archivist,Arşivci,San Jose,San Jose,Plano,Plano,mechanics,mekanik,construction,inşaat,english_like,common,3984,low,low,low,low,low,low,B
R00003,S00003,Mahmut Karakum,Cybersecurity specialist,Siber güvenlik uzmanı,Irving,Irving,Wichita,Wichita,exercise science,hareket,retail,perakende,turkish_like,common,3369,low,low,low,low,low,low,A
R00004,S00004,Cenk Korkut,Robotics engineer,Robotik mühendisi,Miami,Miami,San Francisco,San Francisco,physics,fizik,tourism,turizm,turkish_like,rare,2668,low,low,low,low,low,low,A
R00005,S00005,Devan Walsh,Logistics specialist,Lojistik uzmanı,Sanliurfa,Şanlıurfa,Gaziantep,Gaziantep,logistics,lojistik,chemicals,kimya,english_like,common,2853,low,low,low,low,low,low,B
R00006,S00006,Maura Westbrook,Sewer worker,Kanalizasyon işçisi,Lubbock,Lubbock,Kansas City,Kansas City,management,yönetim,consulting,strateji,english_like,rare,4886,low,low,low,low,low,low,A
R00007,S00007,Chris Sparks,Sports coach,Spor antrenörü,Garland,Garland,Boston,Boston,governance,kamu,airlines,uçuş,english_like,common,1522,medium,medium,low,low,medium,medium,B
R00008,S00008,Ardene Dill,Therapist,Terapist,Kocaeli,Kocaeli,Boise City,Boise City,theatre,tiyatro,banking,finans,english_like,medium,1984,medium,medium,low,low,medium,medium,A
R00009,S00009,Selda Karaoğlu,Massage therapist,Masaj terapisti,Phoenix,Phoenix,Reno,Reno,nursing,hemşirelik,extraction,maden,turkish_like,common,4865,low,low,low,low,low,low,B
R00010,S00010,Berrie England,Kindergarten teacher,Anaokulu öğretmeni,Trabzon,Trabzon,Izmir,İzmir,linguistics,dilbilim,architecture,mimarlık,english_like,medium,4809,low,low,low,low,low,low,A
R00011,S00011,Chelsie Carr,Surgeon,Cerrah,San Bernardino,San Bernardino,Tucson,Tucson,software,programlama,entertainment,eğlence,english_like,common,3631,low,low,low,low,low,low,A
R00012,S00012,Randie Barrera,Librarian,Kütüphaneci,Mersin,Mersin,Ordu,Ordu,social care,bakım,trade,ticaret,english_like,rare,3373,low,low,low,low,low,low,A
R00013,S00013,Mücahit Tıraş,Graphic designer,Grafik tasarımcı,Afyonkarahisar,Afyonkarahisar,Malatya,Malatya,philosophy,felsefe,communications,telekom,turkish_like,rare,1765,medium,medium,low,low,medium,medium,A
R00014,S00014,Ashely Moon,Flight attendant,Kabin memuru,Detroit,Detroit,Aurora,Aurora,politics,siyaset,engineering,teknik,english_like,medium,2388,low,low,low,low,low,low,A
R00015,S00015,Charlotta Patrick,Pilot,Pilot,Mardin,Mardin,Eskisehir,Eskişehir,media studies,basın,electrical,elektrik,english_like,common,1415,medium,medium,low,low,medium,medium,B
R00016,S00016,Bobina Carlson,Sports referee,Spor hakemi,Anaheim,Anaheim,Gilbert,Gilbert,philosophy,felsefe,waste,atık,english_like,common,3923,low,low,low,low,low,low,B
R00017,S00017,Annetta Greene,Warehouse worker,Depo işçisi,Aydin,Aydın,Diyarbakir,Diyarbakır,ecology,ekoloji,advertising,reklam,english_like,common,4924,low,low,low,low,low,low,A
R00018,S00018,Row Boyle,Academic,Akademisyen,Kahramanmaras,Kahramanmaraş,Ankara,Ankara,archaeology,arkeoloji,textiles,tekstil,english_like,rare,3975,low,low,low,low,low,low,B
R00019,S00019,Nebi Köroğlu,Actor,Oyuncu,Van,Van,Virginia Beach,Virginia Beach,business,işletme,engineering,teknik,turkish_like,common,919,medium,medium,low,low,medium,medium,B
R00020,S00020,Denyse Dwyer,Basketball player,Basketbolcu,Mesa,Mesa,Richmond,Richmond,anthropology,antropoloji,welfare,refah,english_like,medium,1293,medium,medium,low,low,medium,medium,A
R00021,S00021,Vehbi Celiloğlu,Elderly care worker,Yaşlı bakım görevlisi,Konya,Konya,Antalya,Antalya,animal care,hayvan,farming,tarım,turkish_like,rare,3719,low,low,low,low,low,low,A
R00022,S00022,Berfin Camcı,Dietitian,Diyetisyen,Hatay,Hatay,Kayseri,Kayseri,statistics,istatistik,railways,demiryolu,turkish_like,common,3565,low,low,low,low,low,low,A
R00023,S00023,Charla Roberts,Air conditioning technician,Klima teknisyeni,Manisa,Manisa,Denizli,Denizli,economics,ekonomi,communications,telekom,english_like,common,4989,low,low,low,low,low,low,B
R00024,S00024,Onur Temel,Baker,Fırıncı,Chesapeake,Chesapeake,Portland,Portland,psychology,psikoloji,textiles,tekstil,turkish_like,common,2546,low,low,low,low,low,low,A
R00025,S00025,Chris Whitfield,Optician,Optisyen,Samsun,Samsun,Bursa,Bursa,electricity,elektrik,energy,enerji,english_like,medium,4044,low,low,low,low,low,low,B
R00026,S00026,Jale Arkan,Mechanical engineer,Makine mühendisi,Philadelphia,Philadelphia,Sakarya,Sakarya,biology,biyoloji,property,emlak,turkish_like,common,681,medium,medium,low,low,medium,medium,A
R00027,S00027,Mevlüt Günebakan,Archaeologist,Arkeolog,Indianapolis,Indianapolis,Tekirdag,Tekirdağ,governance,kamu,electrical,elektrik,turkish_like,rare,4663,low,low,low,low,low,low,A
R00028,S00028,Cass Acosta,Mathematician,Matematikçi,Lexington-Fayette,Lexington-Fayette,Charlotte,Charlotte,physics,fizik,media,medya,english_like,common,3425,low,low,low,low,low,low,B
R00029,S00029,Vikki Brandt,Forestry engineer,Orman mühendisi,Henderson,Henderson,Baton Rouge,Baton Rouge,accounting,muhasebe,academia,akademi,english_like,rare,4382,low,low,low,low,low,low,A
R00030,S00030,Antonina Schmidt,Police officer,Polis memuru,Denver,Denver,Scottsdale,Scottsdale,dental studies,diş,software,teknoloji,english_like,common,264,high,high,medium,medium,high,high,B
R00031,S00031,Blinny Mueller,Human resources specialist,İnsan kaynakları uzmanı,Balikesir,Balıkesir,Adana,Adana,animal care,hayvan,biotech,biyoloji,english_like,common,2379,low,low,low,low,low,low,B
R00032,S00032,Dionne Kimball,Makeup artist,Makyaj sanatçısı,Afyonkarahisar,Afyonkarahisar,Mardin,Mardin,computing,bilişim,security,güvenlik,english_like,medium,4120,low,low,low,low,low,low,A
R00033,S00033,Jaclin Mcnair,Soldier,Asker,Istanbul,İstanbul,Izmir,İzmir,business,işletme,pharmaceuticals,ilaç,english_like,rare,4076,low,low,low,low,low,low,A
R00034,S00034,Barbee Winters,Scientist,Bilim insanı,Glendale,Glendale,Honolulu,Honolulu,forestry,ormanlar,healthcare,tıp,english_like,common,204,high,high,medium,medium,high,high,A
R00035,S00035,Belita Lambert,Personal trainer,Kişisel antrenör,Izmir,İzmir,Denizli,Denizli,chemistry,kimya,maritime,deniz,english_like,common,1226,medium,medium,low,low,medium,medium,A
R00036,S00036,Corine Lynch,Translator,Çevirmen,Santa Ana,Santa Ana,Laredo,Laredo,quantitative methods,matematik,farming,tarım,english_like,common,3245,low,low,low,low,low,low,B
R00037,S00037,Uygar Selvan,Store manager,Mağaza müdürü,Chicago,Chicago,Kahramanmaras,Kahramanmaraş,medicine,tıp,entertainment,eğlence,turkish_like,rare,3707,low,low,low,low,low,low,B
R00038,S00038,Rahime Bayram,Film director,Film yönetmeni,Antalya,Antalya,Adana,Adana,software,programlama,advertising,reklam,turkish_like,medium,401,high,high,medium,medium,high,high,B
R00039,S00039,Nagihan Avcı,Welder,Kaynakçı,Istanbul,İstanbul,Antalya,Antalya,anthropology,antropoloji,government,kamu,turkish_like,common,4895,low,low,low,low,low,low,B
R00040,S00040,Semih Kayaalp,Occupational therapist,Ergoterapist,Greensboro,Greensboro,Toledo,Toledo,media studies,basın,airlines,uçuş,turkish_like,medium,4571,low,low,low,low,low,low,A
R00041,S00041,Ayhan Ünüş,Tax specialist,Vergi uzmanı,Antalya,Antalya,Malatya,Malatya,communication,medya,timber,orman,turkish_like,medium,4429,low,low,low,low,low,low,A
R00042,S00042,Corabella Sandoval,Cashier,Kasiyer,Washington,Washington,Austin,Austin,music,müzik,hotels,otel,english_like,common,2896,low,low,low,low,low,low,A
R00043,S00043,Gonca Berk,Prison officer,Cezaevi görevlisi,Manisa,Manisa,Trabzon,Trabzon,architecture,mimarlık,logistics,lojistik,turkish_like,common,4294,low,low,low,low,low,low,A
R00044,S00044,Loren Logan,Diplomat,Diplomat,Samsun,Samsun,Gaziantep,Gaziantep,pharmacy,ilaç,books,yayın,english_like,medium,900,medium,medium,low,low,medium,medium,A
R00045,S00045,Nuray Şanlıer,Courier,Kurye,Houston,Houston,Fort Worth,Fort Worth,agriculture,tarım,gaming,oyun,turkish_like,medium,3400,low,low,low,low,low,low,A
R00046,S00046,Bliss Hall,Farmer,Çiftçi,Trabzon,Trabzon,Ankara,Ankara,design,dizayn,accounting,muhasebe,english_like,common,3927,low,low,low,low,low,low,A
R00047,S00047,Bernete Romero,Air traffic controller,Hava trafik kontrolörü,Los Angeles,Los Angeles,Winston-Salem,Winston-Salem,construction,inşaat,insurance,sigorta,english_like,common,1265,medium,medium,low,low,medium,medium,A
R00048,S00048,Beilul Andrews,Writer,Yazar,Chula Vista,Chula Vista,Adana,Adana,communication,medya,tourism,turizm,english_like,common,1853,medium,medium,low,low,medium,medium,B
R00049,S00049,Rennie Frederick,Financial auditor,Finansal denetçi,Milwaukee,Milwaukee,San Antonio,San Antonio,design,dizayn,logistics,lojistik,english_like,rare,3968,low,low,low,low,low,low,B
R00050,S00050,Tuğsem Demiray,Fisherman,Balıkçı,Colorado Springs,Colorado Springs,Arlington,Arlington,archaeology,arkeoloji,welfare,refah,turkish_like,common,3603,low,low,low,low,low,low,A
R00051,S00051,Nazım Özel,Boxer,Boksör,New York,New York,Baltimore,Baltimore,forestry,ormanlar,academia,akademi,turkish_like,common,2387,low,low,low,low,low,low,B
R00052,S00052,Donica Phelps,Dancer,Dansçı,Cincinnati,Cincinnati,Jacksonville,Jacksonville,teaching,didaktik,chemicals,kimya,english_like,medium,1203,medium,medium,low,low,medium,medium,A
R00053,S00053,Hande Aytekin,Babysitter,Çocuk bakıcısı,Ankara,Ankara,Gaziantep,Gaziantep,data analytics,veri bilimi,fashion,moda,turkish_like,common,4853,low,low,low,low,low,low,A
R00054,S00054,Gürkan Köseoğlu,Finance specialist,Finans uzmanı,Ankara,Ankara,Seattle,Seattle,quantitative methods,matematik,infrastructure,altyapı,turkish_like,common,1042,medium,medium,low,low,medium,medium,A
R00055,S00055,Marjy Rangel,Biologist,Biyolog,St. Petersburg,St. Petersburg,Stockton,Stockton,biology,biyoloji,infrastructure,altyapı,english_like,medium,2493,low,low,low,low,low,low,B
R00056,S00056,Charlotte Sutton,Footballer,Futbolcu,Las Vegas,Las Vegas,Buffalo,Buffalo,literature,edebiyat,gaming,oyun,english_like,common,263,high,high,medium,medium,high,high,A
