subject_id,subject,block_id,field_of_study_en,field_of_study_tr,field_source_taxonomy,field_source_category,works_in_industry_en,works_in_industry_tr,industry_source_taxonomy,industry_source_category,profession_category,branch_group,name_type,name_rarity_bucket,popularity_bucket,field_seed,industry_seed,industry_repair_swaps
S00001,Mada Granger,B01,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,general,A,english_like,rare,low,2026071101,2026071102,6
S00002,Codie Huffman,B01,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,construction,inşaat,NACE Rev. 2.1,F Construction,general,B,english_like,common,low,2026071101,2026071102,6
S00003,Mahmut Karakum,B01,exercise science,hareket,ISCED-F 2013,1014 Sports,retail,perakende,NACE Rev. 2.1,G47 Retail trade,general,A,turkish_like,common,low,2026071101,2026071102,6
S00004,Cenk Korkut,B01,physics,fizik,ISCED-F 2013,0533 Physics,tourism,turizm,NACE Rev. 2.1,N79 Travel agency and tour operator activities,engineering,A,turkish_like,rare,low,2026071101,2026071102,6
S00005,Devan Walsh,B01,logistics,lojistik,ISCED-F 2013,1041 Transport services,chemicals,kimya,NACE Rev. 2.1,C20 Manufacture of chemicals,logistics,B,english_like,common,low,2026071101,2026071102,6
S00006,Maura Westbrook,B01,management,yönetim,ISCED-F 2013,0413 Management and administration,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,manual_labor,A,english_like,rare,low,2026071101,2026071102,6
S00007,Chris Sparks,B01,governance,kamu,ISCED-F 2013,0413 Management and administration,airlines,uçuş,NACE Rev. 2.1,H51 Air transport,sports,B,english_like,common,medium,2026071101,2026071102,6
S00008,Ardene Dill,B01,theatre,tiyatro,ISCED-F 2013,0215 Music and performing arts,banking,finans,NACE Rev. 2.1,K64 Financial service activities,general,A,english_like,medium,medium,2026071101,2026071102,6
S00009,Selda Karaoğlu,B01,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,general,B,turkish_like,common,low,2026071101,2026071102,6
S00010,Berrie England,B01,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,education,A,english_like,medium,low,2026071101,2026071102,6
S00011,Chelsie Carr,B01,software,programlama,ISCED-F 2013,0613 Software and applications development,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,general,A,english_like,common,low,2026071101,2026071102,6
S00012,Randie Barrera,B01,social care,bakım,ISCED-F 2013,0923 Social work and counselling,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,general,A,english_like,rare,low,2026071101,2026071102,6
S00013,Mücahit Tıraş,B01,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,general,A,turkish_like,rare,medium,2026071101,2026071102,6
S00014,Ashely Moon,B01,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,administration,A,english_like,medium,low,2026071101,2026071102,6
S00015,Charlotta Patrick,B01,media studies,basın,ISCED-F 2013,0321 Journalism and reporting,electrical,elektrik,NACE Rev. 2.1,C26 Manufacture of computer electronic and optical products,logistics,B,english_like,common,medium,2026071101,2026071102,6
S00016,Bobina Carlson,B01,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,waste,atık,NACE Rev. 2.1,E38 Waste collection treatment and materials recovery,sports,B,english_like,common,low,2026071101,2026071102,6
S00017,Annetta Greene,B01,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,logistics,A,english_like,common,low,2026071101,2026071102,6
S00018,Row Boyle,B01,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,textiles,tekstil,NACE Rev. 2.1,C13 Manufacture of textiles,education,B,english_like,rare,low,2026071101,2026071102,6
S00019,Nebi Köroğlu,B01,business,işletme,ISCED-F 2013,0410 Business and administration,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,entertainment,B,turkish_like,common,medium,2026071101,2026071102,6
S00020,Denyse Dwyer,B01,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,welfare,refah,NACE Rev. 2.1,Q88 Social work activities,sports,A,english_like,medium,medium,2026071101,2026071102,6
S00021,Vehbi Celiloğlu,B01,animal care,hayvan,ISCED-F 2013,0841 Veterinary,farming,tarım,NACE Rev. 2.1,A Agriculture forestry and fishing,manual_labor,A,turkish_like,rare,low,2026071101,2026071102,6
S00022,Berfin Camcı,B01,statistics,istatistik,ISCED-F 2013,0542 Statistics,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,general,A,turkish_like,common,low,2026071101,2026071102,6
S00023,Charla Roberts,B01,economics,ekonomi,ISCED-F 2013,0311 Economics,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,engineering,B,english_like,common,low,2026071101,2026071102,6
S00024,Onur Temel,B01,psychology,psikoloji,ISCED-F 2013,0313 Psychology,textiles,tekstil,NACE Rev. 2.1,C13 Manufacture of textiles,general,A,turkish_like,common,low,2026071101,2026071102,6
S00025,Chris Whitfield,B01,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,energy,enerji,NACE Rev. 2.1,D Electricity gas steam and air conditioning supply,general,B,english_like,medium,low,2026071101,2026071102,6
S00026,Jale Arkan,B01,biology,biyoloji,ISCED-F 2013,0511 Biology,property,emlak,NACE Rev. 2.1,L Real estate activities,engineering,A,turkish_like,common,medium,2026071101,2026071102,6
S00027,Mevlüt Günebakan,B01,governance,kamu,ISCED-F 2013,0413 Management and administration,electrical,elektrik,NACE Rev. 2.1,C26 Manufacture of computer electronic and optical products,general,A,turkish_like,rare,low,2026071101,2026071102,6
S00028,Cass Acosta,B01,physics,fizik,ISCED-F 2013,0533 Physics,media,medya,NACE Rev. 2.1,J60 Programming and broadcasting,general,B,english_like,common,low,2026071101,2026071102,6
S00029,Vikki Brandt,B01,accounting,muhasebe,ISCED-F 2013,0411 Accounting and taxation,academia,akademi,NACE Rev. 2.1,P Education,engineering,A,english_like,rare,low,2026071101,2026071102,6
S00030,Antonina Schmidt,B01,dental studies,diş,ISCED-F 2013,0911 Dental studies,software,teknoloji,NACE Rev. 2.1,J62 Computer programming and consultancy,public_service,B,english_like,common,high,2026071101,2026071102,6
S00031,Blinny Mueller,B01,animal care,hayvan,ISCED-F 2013,0841 Veterinary,biotech,biyoloji,NACE Rev. 2.1,M72 Scientific research and development,general,B,english_like,common,low,2026071101,2026071102,6
S00032,Dionne Kimball,B01,computing,bilişim,ISCED-F 2013,0613 Software and applications development,security,güvenlik,NACE Rev. 2.1,N80 Security and investigation activities,entertainment,A,english_like,medium,low,2026071101,2026071102,6
S00033,Jaclin Mcnair,B01,business,işletme,ISCED-F 2013,0410 Business and administration,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,public_service,A,english_like,rare,low,2026071101,2026071102,6
